,team,batFirst_games_won,batFirst_total_games,batFirst_win_percent,fieldFirst_games_won,fieldFirst_total_games,fieldFirst_win_percent
0,Africa XI,1,2,50.0,0.0,0.0,0.0
1,Asia XI,1,3,33.33333333333333,0.0,0.0,0.0
2,Australia,88,119,73.94957983193278,85.0,128.0,66.40625
3,Bangladesh,7,50,14.000000000000002,3.0,48.0,6.25
4,Canada,1,2,50.0,0.0,4.0,0.0
5,England,30,70,42.85714285714285,52.0,104.0,50.0
6,Hong Kong,0,1,0.0,0.0,0.0,0.0
7,ICC World XI,1,4,25.0,0.0,0.0,0.0
8,India,74,149,49.66442953020135,81.0,158.0,51.26582278481012
9,Kenya,7,28,25.0,4.0,32.0,12.5
10,Namibia,0,5,0.0,0.0,0.0,0.0
11,Netherlands,1,8,12.5,0.0,4.0,0.0
12,New Zealand,43,96,44.79166666666667,55.0,120.0,45.83333333333333
13,Pakistan,97,164,59.14634146341463,70.0,130.0,53.84615384615385
14,Scotland,0,2,0.0,0.0,3.0,0.0
15,South Africa,76,110,69.0909090909091,94.0,133.0,70.67669172932331
16,Sri Lanka,75,133,56.39097744360903,74.0,118.0,62.71186440677966
17,United Arab Emirates,0,4,0.0,0.0,3.0,0.0
18,United States of America,0,1,0.0,0.0,1.0,0.0
19,West Indies,38,85,44.70588235294118,53.0,106.0,50.0
20,Zimbabwe,28,100,28.000000000000004,32.0,116.0,27.58620689655172
