team,games_won,total_games,win_percent,home_win_margin,away_win_margin
Pakistan,97,164,59.14634146341463,72.77777778,71.58227848
India,74,149,49.664429530201346,64.25,63.74
Sri Lanka,75,133,56.390977443609025,55.37931034,63.39130435
Australia,88,119,73.94957983193278,72.5,68.83333333
South Africa,76,110,69.09090909,81.21212121,68.88372093
Zimbabwe,28,100,28.000000000000004,60.75,66.15
New Zealand,43,96,44.79166666666667,46.13333333,69.53571429
West Indies,38,85,44.70588235294118,50,58.35714286
England,30,70,42.857142857142854,77.28571429,52.73913043
Bangladesh,7,50,14.000000000000002,37.66666667,52
Kenya,7,28,25,101.5,63.4
Netherlands,1,8,12.5,0,64
Namibia,0,5,0,0,0
United Arab Emirates,0,4,0,0,0
ICC World XI,1,4,25,0,112
Asia XI,1,3,33.33333333333333,0,17
Africa XI,1,2,50,0,2
Canada,1,2,50,0,60
Scotland,0,2,0,0,0
Hong Kong,0,1,0,0,0
United States of America,0,1,0,0,0
