team,games_won,total_games,win_percent
Pakistan,97,164,59.14634146341463
Australia,87,117,74.35897435897436
India,74,149,49.664429530201346
Sri Lanka,74,132,56.060606060606055
South Africa,73,107,68.22429906542055
New Zealand,43,94,45.744680851063826
West Indies,38,84,45.23809523809524
England,30,69,43.47826086956522
Zimbabwe,27,98,27.55102040816326
Kenya,7,28,25.0
Bangladesh,7,50,14.000000000000002
Canada,1,2,50.0
Netherlands,1,8,12.5
ICC World XI,1,4,25.0
Africa XI,1,2,50.0
Asia XI,1,3,33.33333333333333
