team,total_games,games_won,home_win_margin,away_win_margin
Pakistan,164,97,72.77777777777777,71.58227848101266
India,149,74,64.25,63.74
Sri Lanka,133,75,55.37931034482759,63.391304347826086
Australia,119,88,72.5,68.83333333333333
South Africa,110,76,81.21212121212122,68.88372093023256
Zimbabwe,100,28,60.75,66.15
New Zealand,96,43,46.13333333333333,69.53571428571429
West Indies,85,38,50.0,58.357142857142854
England,70,30,77.28571428571429,52.73913043478261
Bangladesh,50,7,37.666666666666664,52.0
Kenya,28,7,101.5,63.4
Netherlands,8,1,0.0,64.0
Namibia,5,0,0.0,0.0
United Arab Emirates,4,0,0.0,0.0
ICC World XI,4,1,0.0,112.0
Asia XI,3,1,0.0,17.0
Africa XI,2,1,0.0,2.0
Canada,2,1,0.0,60.0
Scotland,2,0,0.0,0.0
Hong Kong,1,0,0.0,0.0
United States of America,1,0,0.0,0.0
