country,country_wins,team,total_wins,win_percent,country_code
United Arab Emirates,22,Pakistan,97,22.68041237113402,ARE
Pakistan,18,Pakistan,97,18.556701030927837,PAK
England,8,Pakistan,97,8.24742268041237,GBR
India,7,Pakistan,97,7.216494845360824,IND
Australia,7,Pakistan,97,7.216494845360824,AUS
Canada,7,Pakistan,97,7.216494845360824,CAN
Bangladesh,6,Pakistan,97,6.185567010309279,BGD
Sri Lanka,5,Pakistan,97,5.154639175257731,LKA
South Africa,4,Pakistan,97,4.123711340206185,ZAF
Trinidad and Tobago,4,Pakistan,97,4.123711340206185,TTO
Singapore,3,Pakistan,97,3.0927835051546393,SGP
Zimbabwe,3,Pakistan,97,3.0927835051546393,ZWE
Kenya,1,Pakistan,97,1.0309278350515463,KEN
Morocco,1,Pakistan,97,1.0309278350515463,MAR
New Zealand,1,Pakistan,97,1.0309278350515463,NZL
India,24,India,74,32.432432432432435,IND
South Africa,7,India,74,9.45945945945946,ZAF
Sri Lanka,7,India,74,9.45945945945946,LKA
Bangladesh,6,India,74,8.108108108108109,BGD
England,6,India,74,8.108108108108109,GBR
United Arab Emirates,6,India,74,8.108108108108109,ARE
Canada,4,India,74,5.405405405405405,CAN
Australia,4,India,74,5.405405405405405,AUS
Kenya,4,India,74,5.405405405405405,KEN
Pakistan,2,India,74,2.7027027027027026,PAK
Singapore,2,India,74,2.7027027027027026,SGP
Zimbabwe,2,India,74,2.7027027027027026,ZWE
Sri Lanka,28,Sri Lanka,74,37.83783783783784,LKA
United Arab Emirates,14,Sri Lanka,74,18.91891891891892,ARE
South Africa,4,Sri Lanka,74,5.405405405405405,ZAF
Pakistan,4,Sri Lanka,74,5.405405405405405,PAK
Australia,4,Sri Lanka,74,5.405405405405405,AUS
India,4,Sri Lanka,74,5.405405405405405,IND
Zimbabwe,4,Sri Lanka,74,5.405405405405405,ZWE
Morocco,3,Sri Lanka,74,4.054054054054054,MAR
England,3,Sri Lanka,74,4.054054054054054,GBR
Trinidad and Tobago,2,Sri Lanka,74,2.7027027027027026,TTO
Kenya,1,Sri Lanka,74,1.3513513513513513,KEN
Bangladesh,1,Sri Lanka,74,1.3513513513513513,BGD
Singapore,1,Sri Lanka,74,1.3513513513513513,SGP
