match_id,team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_home_away,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ball_remaining,ground_city,ground,ground_country,match_date
ODI # 1028,West Indies,Australia,172,173,9,9,away,home,Australia,1,wickets,Day and night,Benson & Hedges World Series,Paul Reiffel,Australia,Sydney Cricket Ground,West Indies,bat first,,Sydney,Moore Park,Australia,01-01-1996
ODI # 1029,West Indies,Sri Lanka,194,124,10,10,away,away,West Indies,70,runs,Day,Benson & Hedges World Series,Shivnarine Chanderpaul,West Indies,"Bellerive Oval, Hobart",Sri Lanka,field first,,Hobart,Bellerive,Australia,03-01-1996
ODI # 1030,Sri Lanka,West Indies,102,104,10,3,away,away,West Indies,7,wickets,Day and night,Benson & Hedges World Series,Curtly Ambrose,West Indies,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sri Lanka,bat first,143,Brisbane,Woolloongabba,Australia,05-01-1996
ODI # 1031,West Indies,Australia,231,217,10,10,away,home,West Indies,14,runs,Day,Benson & Hedges World Series,Ottis Gibson,West Indies,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia,field first,,Brisbane,Woolloongabba,Australia,07-01-1996
ODI # 1032,Australia,Sri Lanka,213,214,5,7,home,away,Sri Lanka,3,wickets,Day and night,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,Melbourne Cricket Ground,Australia,bat first,15,Melbourne,Jolimont,Australia,09-01-1996
ODI # 1033,South Africa,England,211,205,8,10,home,away,South Africa,6,runs,Day and night,England tour of South Africa,Shaun Pollock,South Africa,"Newlands, Cape Town",South Africa,bat first,,Cape Town,Cape Town,South Africa,09-01-1996
ODI # 1034,South Africa,England,262,265,8,5,home,away,England,5,wickets,Day and night,England tour of South Africa,Mike Atherton,England,"Springbok Park, Bloemfontein",South Africa,bat first,10,Bloemfontein,Bloemfontein,South Africa,11-01-1996
ODI # 1035,Australia,Sri Lanka,266,183,6,9,home,away,Australia,83,runs,Day and night,Benson & Hedges World Series,Mark Waugh,Australia,"Western Australia Cricket Association Ground, Perth",Australia,bat first,,Perth,East Perth,Australia,12-01-1996
ODI # 1036,England,South Africa,198,199,8,7,away,home,South Africa,3,wickets,Day,England tour of South Africa,Shaun Pollock,South Africa,"New Wanderers Stadium, Johannesburg",England,bat first,11,Johannesburg,Johannesburg,South Africa,13-01-1996
ODI # 1037,Sri Lanka,West Indies,202,186,10,9,away,away,Sri Lanka,16,runs,Day,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,"Western Australia Cricket Association Ground, Perth",West Indies,field first,,Perth,East Perth,Australia,14-01-1996
ODI # 1038,England,South Africa,272,276,8,3,away,home,South Africa,7,wickets,Day,England tour of South Africa,Gary Kirsten,South Africa,Centurion Park,England,bat first,12,Centurion,Centurion,South Africa,14-01-1996
